abc_team,xyz_team,abc_player_letter,abc_player_license,abc_player_name,abc_player_score,xyz_player_letter,xyz_player_license,xyz_player_name,xyz_player_score
UE SANT CUGAT,CN SABADELL ''A'',A,17485,TRIGO Rafael,0,Y,15069,LLOVET Arnau,3
UE SANT CUGAT,CN SABADELL ''A'',B,14669,BENAVIDES Fernando,3,X,15556,LLONCH Roger,2
UE SANT CUGAT,CN SABADELL ''A'',C,15409,FLAMARICH Sergi,2,Z,15071,LLOVET Agnès,3
UE SANT CUGAT,CN SABADELL ''A'',A,17485,TRIGO Rafael,3,X,15556,LLONCH Roger,1
UE SANT CUGAT,CN SABADELL ''A'',C,15409,FLAMARICH Sergi,2,Y,15069,LLOVET Arnau,3
UE SANT CUGAT,CN SABADELL ''A'',B,14669,BENAVIDES Fernando,0,Z,15071,LLOVET Agnès,3
CTT SANTA PERPETUA ''A'',MOLLET 2002 TT,A,530,ORTEGA Juan Antonio,3,Y,6961,MUÑOZ Jose,0
CTT SANTA PERPETUA ''A'',MOLLET 2002 TT,B,693,MATEO Daniel,1,X,16953,GARCIA Raul,3
CTT SANTA PERPETUA ''A'',MOLLET 2002 TT,C,17296,MONTANERO Juan Manuel,2,Z,5427,BERNAL Martin,3
CTT SANTA PERPETUA ''A'',MOLLET 2002 TT,A,530,ORTEGA Juan Antonio,3,X,16953,GARCIA Raul,0
CTT SANTA PERPETUA ''A'',MOLLET 2002 TT,C,17296,MONTANERO Juan Manuel,0,Y,6961,MUÑOZ Jose,3
CTT SANTA PERPETUA ''A'',MOLLET 2002 TT,B,693,MATEO Daniel,2,Z,5427,BERNAL Martin,3
CTT ST QUIRZE DEL VALLÈS - Sen C,CTT RUBI,A,12904,JIMENEZ Marti,3,Y,17701,RUIZ Santiago,0
CTT ST QUIRZE DEL VALLÈS - Sen C,CTT RUBI,B,17469,CARNEVALI Davide,0,X,12347,FRANQUET Juan,3
CTT ST QUIRZE DEL VALLÈS - Sen C,CTT RUBI,C,1770,MILLERA Carlos,3,Z,4492,PRAT Jaume,1
CTT ST QUIRZE DEL VALLÈS - Sen C,CTT RUBI,A,12904,JIMENEZ Marti,0,X,12347,FRANQUET Juan,3
CTT ST QUIRZE DEL VALLÈS - Sen C,CTT RUBI,C,1770,MILLERA Carlos,1,Y,17701,RUIZ Santiago,3
CTT ST QUIRZE DEL VALLÈS - Sen C,CTT RUBI,B,17469,CARNEVALI Davide,3,Z,4492,PRAT Jaume,1
FALCONS SABADELL A.E.,CTT GRANOLLERS ''B'',A,17507,SOLER Albert,3,Y,17018,ALCALÀ Pau,1
FALCONS SABADELL A.E.,CTT GRANOLLERS ''B'',B,15823,AYNO Biel,1,X,17007,SÁNCHEZ Hugo,3
FALCONS SABADELL A.E.,CTT GRANOLLERS ''B'',C,15935,MOLINA Eothain,0,Z,17704,PUIG Sergi,3
FALCONS SABADELL A.E.,CTT GRANOLLERS ''B'',A,17507,SOLER Albert,3,X,17007,SÁNCHEZ Hugo,2
FALCONS SABADELL A.E.,CTT GRANOLLERS ''B'',C,15935,MOLINA Eothain,3,Y,17018,ALCALÀ Pau,2
FALCONS SABADELL A.E.,CTT GRANOLLERS ''B'',B,15823,AYNO Biel,3,Z,17704,PUIG Sergi,1
