abc_team,xyz_team,abc_player_letter,abc_player_license,abc_player_name,abc_player_score,xyz_player_letter,xyz_player_license,xyz_player_name,xyz_player_score
LLUÏSOS D'HORTA TT,CTT CASTELLGALÍ,A,18177,MARTINEZ Jaume,0,Y,11189,ORTEGA Antonio,3
LLUÏSOS D'HORTA TT,CTT CASTELLGALÍ,B,17675,TORRENS Francisco,1,X,377,LLOBET Jaume,3
LLUÏSOS D'HORTA TT,CTT CASTELLGALÍ,C,15730,TOBOSO Jordi,1,Z,18952,GARCIA Joaquin,3
LLUÏSOS D'HORTA TT,CTT CASTELLGALÍ,A,18177,MARTINEZ Jaume,0,X,377,LLOBET Jaume,3
LLUÏSOS D'HORTA TT,CTT CASTELLGALÍ,C,15730,TOBOSO Jordi,1,Y,11189,ORTEGA Antonio,3
LLUÏSOS D'HORTA TT,CTT CASTELLGALÍ,B,17675,TORRENS Francisco,0,Z,18952,GARCIA Joaquin,3
CT BARCINO,CTT ATENEU 1882 ''A'',A,11148,MAZORRA Enric,3,Y,18034,ROFES Sergi,0
CT BARCINO,CTT ATENEU 1882 ''A'',B,4795,FRANCO Jose,3,X,17157,PÉREZ Francesc,0
CT BARCINO,CTT ATENEU 1882 ''A'',C,33,CULLA Jose Luis,0,Z,220,INFANTE Julia,3
CT BARCINO,CTT ATENEU 1882 ''A'',A,11148,MAZORRA Enric,3,X,17157,PÉREZ Francesc,0
CT BARCINO,CTT ATENEU 1882 ''A'',C,33,CULLA Jose Luis,1,Y,18034,ROFES Sergi,3
CT BARCINO,CTT ATENEU 1882 ''A'',B,4795,FRANCO Jose,0,Z,220,INFANTE Julia,3
ASS. ESPORTIVA SANT LLUIS,CTT VILASSAR ''B'',A,18944,QUIÑONERO Montserrat,3,Y,5926,RECODER Carles,0
ASS. ESPORTIVA SANT LLUIS,CTT VILASSAR ''B'',B,6872,TORELL Enrique,1,X,19293,ESTEBAN Alex,3
ASS. ESPORTIVA SANT LLUIS,CTT VILASSAR ''B'',C,18947,ALONSO Francisco,0,Z,11248,GARCIA Victor,3
ASS. ESPORTIVA SANT LLUIS,CTT VILASSAR ''B'',A,18944,QUIÑONERO Montserrat,3,X,19293,ESTEBAN Alex,0
ASS. ESPORTIVA SANT LLUIS,CTT VILASSAR ''B'',C,18947,ALONSO Francisco,3,Y,5926,RECODER Carles,2
ASS. ESPORTIVA SANT LLUIS,CTT VILASSAR ''B'',B,6872,TORELL Enrique,1,Z,11248,GARCIA Victor,3
CTT ST QUIRZE DEL VALLÈS - Vet D ''A'',CTT CARDEDEU EIG,A,1893,JIMENEZ Jose Antonio,3,Y,13314,MANZANO Francisco,0
CTT ST QUIRZE DEL VALLÈS - Vet D ''A'',CTT CARDEDEU EIG,B,11340,ROMERO Gabriel,0,X,19131,GUTIÉRREZ Carles,3
CTT ST QUIRZE DEL VALLÈS - Vet D ''A'',CTT CARDEDEU EIG,C,12124,ALASTUEY Hugo Alberto,3,Z,16296,LEVA Jesús,1
CTT ST QUIRZE DEL VALLÈS - Vet D ''A'',CTT CARDEDEU EIG,A,1893,JIMENEZ Jose Antonio,3,X,19131,GUTIÉRREZ Carles,1
CTT ST QUIRZE DEL VALLÈS - Vet D ''A'',CTT CARDEDEU EIG,C,12124,ALASTUEY Hugo Alberto,2,Y,13314,MANZANO Francisco,3
CTT ST QUIRZE DEL VALLÈS - Vet D ''A'',CTT CARDEDEU EIG,B,11340,ROMERO Gabriel,3,Z,16296,LEVA Jesús,2
