abc_team,xyz_team,abc_player_letter,abc_player_license,abc_player_name,abc_player_score,xyz_player_letter,xyz_player_license,xyz_player_name,xyz_player_score
TT C. JEMA,FALCONS DE SABADELL A.E.,A,10095,MILIA Gaspar,3,Y,14307,TRALLERO Ona,0
TT C. JEMA,FALCONS DE SABADELL A.E.,B,6001,NAVARRETE Cristobal,3,X,13709,PONCE Lucas,0
TT C. JEMA,FALCONS DE SABADELL A.E.,C,11259,BAREA Jordi,3,Z,14384,CAYELLAS Carla,0
TT C. JEMA,FALCONS DE SABADELL A.E.,A,10095,MILIA Gaspar,1,X,13709,PONCE Lucas,3
TT C. JEMA,FALCONS DE SABADELL A.E.,C,11259,BAREA Jordi,3,Y,14307,TRALLERO Ona,0
TT C. JEMA,FALCONS DE SABADELL A.E.,B,6001,NAVARRETE Cristobal,3,Z,14384,CAYELLAS Carla,1
ÀNECBLAU - TT JOVES CTDFELS,TT L'HOSPITALET,A,14526,COMAS Jan,2,Y,18138,ALBERT Marcel,3
ÀNECBLAU - TT JOVES CTDFELS,TT L'HOSPITALET,B,3983,PLA Joaquim,3,X,17137,CANOVAS Joan,2
ÀNECBLAU - TT JOVES CTDFELS,TT L'HOSPITALET,C,15287,ORDÓÑEZ Joel,3,Z,16210,BELTRAN Pol,0
ÀNECBLAU - TT JOVES CTDFELS,TT L'HOSPITALET,A,14526,COMAS Jan,1,X,17137,CANOVAS Joan,3
ÀNECBLAU - TT JOVES CTDFELS,TT L'HOSPITALET,C,15287,ORDÓÑEZ Joel,3,Y,18138,ALBERT Marcel,1
ÀNECBLAU - TT JOVES CTDFELS,TT L'HOSPITALET,B,3983,PLA Joaquim,3,Z,16210,BELTRAN Pol,0
TOT MOTOR CTT RIPOLLET ''B'',CTT CASTELLGALÍ ''A'',A,16514,PACHECO Liam,3,Y,10023,LUS Constantin,2
TOT MOTOR CTT RIPOLLET ''B'',CTT CASTELLGALÍ ''A'',B,16513,JANÉ Ot,3,X,11076,SERRA Carles,0
TOT MOTOR CTT RIPOLLET ''B'',CTT CASTELLGALÍ ''A'',C,16517,MÉNDEZ Gerard,1,Z,11074,GARRIDO Josep,3
TOT MOTOR CTT RIPOLLET ''B'',CTT CASTELLGALÍ ''A'',A,16514,PACHECO Liam,3,X,11076,SERRA Carles,0
TOT MOTOR CTT RIPOLLET ''B'',CTT CASTELLGALÍ ''A'',C,16517,MÉNDEZ Gerard,3,Y,10023,LUS Constantin,0
TOT MOTOR CTT RIPOLLET ''B'',CTT CASTELLGALÍ ''A'',B,16513,JANÉ Ot,2,Z,11074,GARRIDO Josep,3
CTT OLESA,CTT BARCELONA ''A'',A,7342,MAROTO Eduardo,3,Y,15248,VALLES Pau,0
CTT OLESA,CTT BARCELONA ''A'',B,18933,GARCIA Jose Manuel,1,X,14115,SALES Jan,3
CTT OLESA,CTT BARCELONA ''A'',C,13215,BOLTA Pep,1,Z,12965,FABIÁN Daniel,3
CTT OLESA,CTT BARCELONA ''A'',A,7342,MAROTO Eduardo,1,X,14115,SALES Jan,3
CTT OLESA,CTT BARCELONA ''A'',C,13215,BOLTA Pep,2,Y,15248,VALLES Pau,3
CTT OLESA,CTT BARCELONA ''A'',B,18933,GARCIA Jose Manuel,3,Z,12965,FABIÁN Daniel,1
CTT CASTELLDEFELS,UE SANT CUGAT ''B'',A,11673,FERNÁNDEZ Raul,3,Y,14327,HOSPITAL Txomin,0
CTT CASTELLDEFELS,UE SANT CUGAT ''B'',B,15282,FERNÁNDEZ Gael,0,X,2106,GONZALEZ Pedro,3
CTT CASTELLDEFELS,UE SANT CUGAT ''B'',C,6168,MORENO Javier,3,Z,13434,CASABONA Ramon,0
CTT CASTELLDEFELS,UE SANT CUGAT ''B'',A,11673,FERNÁNDEZ Raul,3,X,2106,GONZALEZ Pedro,0
CTT CASTELLDEFELS,UE SANT CUGAT ''B'',C,6168,MORENO Javier,3,Y,14327,HOSPITAL Txomin,0
CTT CASTELLDEFELS,UE SANT CUGAT ''B'',B,15282,FERNÁNDEZ Gael,0,Z,13434,CASABONA Ramon,3
LLUÏSOS DE GRÀCIA ''A'',CTT GRANOLLERS,A,16815,ZAFRA Bruno,3,Y,17007,SÁNCHEZ Hugo,2
LLUÏSOS DE GRÀCIA ''A'',CTT GRANOLLERS,B,6165,SALCEDO Raul,3,X,17704,PUIG Sergi,1
LLUÏSOS DE GRÀCIA ''A'',CTT GRANOLLERS,A,16815,ZAFRA Bruno,3,X,17704,PUIG Sergi,2
LLUÏSOS DE GRÀCIA ''A'',CTT GRANOLLERS,B,6165,SALCEDO Raul,3,Z,19726,FA Ramon,2
