abc_team,xyz_team,abc_player_letter,abc_player_license,abc_player_name,abc_player_score,xyz_player_letter,xyz_player_license,xyz_player_name,xyz_player_score
CTT BARCELONA ''A'',FALCONS DE SABADELL A.E.,A,17576,MASSANAS Tomas,3,Y,17507,SOLER Albert,0
CTT BARCELONA ''A'',FALCONS DE SABADELL A.E.,B,15250,RULL Blai,2,X,13709,PONCE Lucas,3
CTT BARCELONA ''A'',FALCONS DE SABADELL A.E.,C,15248,VALLES Pau,3,Z,15823,AYNO Biel,0
CTT BARCELONA ''A'',FALCONS DE SABADELL A.E.,A,17576,MASSANAS Tomas,3,X,13709,PONCE Lucas,1
CTT BARCELONA ''A'',FALCONS DE SABADELL A.E.,C,15248,VALLES Pau,2,Y,17507,SOLER Albert,3
CTT BARCELONA ''A'',FALCONS DE SABADELL A.E.,B,15250,RULL Blai,3,Z,15823,AYNO Biel,1
CTT CASTELLDEFELS,TOT MOTOR CTT RIPOLLET ''B'',A,8021,CASOLIVA Juan Jose,0,Y,16516,CODOLÀ Pep,3
CTT CASTELLDEFELS,TOT MOTOR CTT RIPOLLET ''B'',B,6168,MORENO Javier,3,X,16513,JANÉ Ot,1
CTT CASTELLDEFELS,TOT MOTOR CTT RIPOLLET ''B'',C,16157,GONZALEZ Sonia,0,Z,16515,MACIÀ Álvaro,3
CTT CASTELLDEFELS,TOT MOTOR CTT RIPOLLET ''B'',A,8021,CASOLIVA Juan Jose,2,X,16513,JANÉ Ot,3
CTT CASTELLDEFELS,TOT MOTOR CTT RIPOLLET ''B'',C,16157,GONZALEZ Sonia,3,Y,16516,CODOLÀ Pep,0
CTT CASTELLDEFELS,TOT MOTOR CTT RIPOLLET ''B'',B,6168,MORENO Javier,3,Z,16515,MACIÀ Álvaro,1
CTT GRANOLLERS,ÀNECBLAU - TT JOVES CTDFELS,A,17007,SÁNCHEZ Hugo,3,Y,15287,ORDÓÑEZ Joel,1
CTT GRANOLLERS,ÀNECBLAU - TT JOVES CTDFELS,B,17702,ILLA Miquel,2,X,18111,MURGA Jordi,3
CTT GRANOLLERS,ÀNECBLAU - TT JOVES CTDFELS,C,17704,PUIG Sergi,2,Z,15968,ALONSO Ruben,3
CTT GRANOLLERS,ÀNECBLAU - TT JOVES CTDFELS,A,17007,SÁNCHEZ Hugo,3,X,18111,MURGA Jordi,2
CTT GRANOLLERS,ÀNECBLAU - TT JOVES CTDFELS,C,17704,PUIG Sergi,2,Y,15287,ORDÓÑEZ Joel,3
CTT GRANOLLERS,ÀNECBLAU - TT JOVES CTDFELS,B,17702,ILLA Miquel,0,Z,15968,ALONSO Ruben,3
LLUÏSOS DE GRÀCIA ''A'',TT C. JEMA,A,16494,ULLOA Adrià,2,Y,11259,BAREA Jordi,3
LLUÏSOS DE GRÀCIA ''A'',TT C. JEMA,B,16813,CHAYROUSSE Marçal,3,X,6001,NAVARRETE Cristobal,2
LLUÏSOS DE GRÀCIA ''A'',TT C. JEMA,A,16494,ULLOA Adrià,2,X,6001,NAVARRETE Cristobal,3
LLUÏSOS DE GRÀCIA ''A'',TT C. JEMA,B,16813,CHAYROUSSE Marçal,3,Z,10095,MILIA Gaspar,1
UE SANT CUGAT ''B'',TT L'HOSPITALET,A,11286,ZHANG Zhiquan,3,Y,8708,ROMERO Mauricio,2
UE SANT CUGAT ''B'',TT L'HOSPITALET,B,14327,HOSPITAL Txomin,0,X,16210,BELTRAN Pol,3
UE SANT CUGAT ''B'',TT L'HOSPITALET,C,2106,GONZALEZ Pedro,2,Z,18139,FREITAS Humbert,3
UE SANT CUGAT ''B'',TT L'HOSPITALET,A,11286,ZHANG Zhiquan,3,X,16210,BELTRAN Pol,1
UE SANT CUGAT ''B'',TT L'HOSPITALET,C,2106,GONZALEZ Pedro,3,Y,8708,ROMERO Mauricio,0
UE SANT CUGAT ''B'',TT L'HOSPITALET,B,14327,HOSPITAL Txomin,2,Z,18139,FREITAS Humbert,3
CTT CASTELLGALÍ ''A'',CTT OLESA,A,11074,GARRIDO Josep,1,Y,13226,RIVERA Juanjo,3
CTT CASTELLGALÍ ''A'',CTT OLESA,B,10023,LUS Constantin,0,X,15615,BRANDARIZ Victor,3
CTT CASTELLGALÍ ''A'',CTT OLESA,C,11076,SERRA Carles,3,Z,14360,JIMENEZ Daniel,0
CTT CASTELLGALÍ ''A'',CTT OLESA,A,11074,GARRIDO Josep,0,X,15615,BRANDARIZ Victor,3
CTT CASTELLGALÍ ''A'',CTT OLESA,C,11076,SERRA Carles,2,Y,13226,RIVERA Juanjo,3
CTT CASTELLGALÍ ''A'',CTT OLESA,B,10023,LUS Constantin,0,Z,14360,JIMENEZ Daniel,3
