abc_team,xyz_team,abc_player_letter,abc_player_license,abc_player_name,abc_player_score,xyz_player_letter,xyz_player_license,xyz_player_name,xyz_player_score
TT L'HOSPITALET ''B'',LLUÏSOS DE GRÀCIA,A,6637,JIMENEZ Francisco Manuel,3,Y,9222,ULLOA Ferran,2
TT L'HOSPITALET ''B'',LLUÏSOS DE GRÀCIA,B,12792,QUINTERO Bethany Lyn,1,X,13478,CARMONA Daniel,3
TT L'HOSPITALET ''B'',LLUÏSOS DE GRÀCIA,C,10975,MUNIESA Victor,3,Z,15074,FLORIT Joan,0
TT L'HOSPITALET ''B'',LLUÏSOS DE GRÀCIA,A,6637,JIMENEZ Francisco Manuel,3,X,13478,CARMONA Daniel,1
TT L'HOSPITALET ''B'',LLUÏSOS DE GRÀCIA,C,10975,MUNIESA Victor,2,Y,9222,ULLOA Ferran,3
TT L'HOSPITALET ''B'',LLUÏSOS DE GRÀCIA,B,12792,QUINTERO Bethany Lyn,3,Z,15074,FLORIT Joan,1
CTT CASTELLGALÍ,VIC TT,A,11074,GARRIDO Josep,3,Y,3953,PORTET Joaquim,1
CTT CASTELLGALÍ,VIC TT,B,15058,GUERRERO Eduard,1,X,5870,BAU Adria,3
CTT CASTELLGALÍ,VIC TT,C,11076,SERRA Carles,0,Z,724,BORRULL Jordi,3
CTT CASTELLGALÍ,VIC TT,A,11074,GARRIDO Josep,2,X,5870,BAU Adria,3
CTT CASTELLGALÍ,VIC TT,C,11076,SERRA Carles,1,Y,3953,PORTET Joaquim,3
CTT CASTELLGALÍ,VIC TT,B,15058,GUERRERO Eduard,0,Z,724,BORRULL Jordi,3
CTT ATC MOLINS DE REI,CRUXENT EDELMA CALELLA,A,3262,TRIAS Roger,2,Y,11254,RUSCALLEDA Antoni,3
CTT ATC MOLINS DE REI,CRUXENT EDELMA CALELLA,B,545,PUIGGARÍ Albert,3,X,93,PUIG Jaume,1
CTT ATC MOLINS DE REI,CRUXENT EDELMA CALELLA,C,11278,GUASCH Josep,3,Z,6764,FONT Laia,0
CTT ATC MOLINS DE REI,CRUXENT EDELMA CALELLA,A,3262,TRIAS Roger,3,X,93,PUIG Jaume,0
CTT ATC MOLINS DE REI,CRUXENT EDELMA CALELLA,C,11278,GUASCH Josep,1,Y,11254,RUSCALLEDA Antoni,3
CTT ATC MOLINS DE REI,CRUXENT EDELMA CALELLA,B,545,PUIGGARÍ Albert,2,Z,6764,FONT Laia,3
CTT BARCELONA ''A'',FOMENT MARTINENC,A,15842,GRAU Antoni,3,Y,11138,GARCÍA Alfred,0
CTT BARCELONA ''A'',FOMENT MARTINENC,B,9119,LLORENTE Jose Antonio,1,X,505,FIGUEROA Alberto,3
CTT BARCELONA ''A'',FOMENT MARTINENC,C,14817,MARTIN Arnau,3,Z,8517,RIBAS Jose,0
CTT BARCELONA ''A'',FOMENT MARTINENC,A,15842,GRAU Antoni,0,X,505,FIGUEROA Alberto,3
CTT BARCELONA ''A'',FOMENT MARTINENC,C,14817,MARTIN Arnau,3,Y,11138,GARCÍA Alfred,0
CTT BARCELONA ''A'',FOMENT MARTINENC,B,9119,LLORENTE Jose Antonio,3,Z,8517,RIBAS Jose,0
CTT MOIANES,UE SANT CUGAT ''A'',A,14566,ALDEA Javier,3,Y,14914,GONZALEZ Mar,0
CTT MOIANES,UE SANT CUGAT ''A'',B,13918,ALDEA Pol,3,X,12724,ESTIVILL Cristina,0
CTT MOIANES,UE SANT CUGAT ''A'',C,14158,MARTIN Izan,3,Z,12336,ROSSELL Ernest,2
CTT MOIANES,UE SANT CUGAT ''A'',A,14566,ALDEA Javier,3,X,12724,ESTIVILL Cristina,2
CTT MOIANES,UE SANT CUGAT ''A'',C,14158,MARTIN Izan,3,Y,14914,GONZALEZ Mar,1
CTT MOIANES,UE SANT CUGAT ''A'',B,13918,ALDEA Pol,3,Z,12336,ROSSELL Ernest,1
CTT L'AVENÇ,ATT CASTELLAR,A,8409,AMÉZQUITA Camilo,0,Y,7654,PUJANTE Javier,3
CTT L'AVENÇ,ATT CASTELLAR,B,12175,AMEZQUITA Fabian Matías,3,X,15976,TORNAY Alex,1
CTT L'AVENÇ,ATT CASTELLAR,C,8405,BARCELO Marcos,1,Z,5632,TRILLAS Oscar,3
CTT L'AVENÇ,ATT CASTELLAR,A,8409,AMÉZQUITA Camilo,3,X,15976,TORNAY Alex,2
CTT L'AVENÇ,ATT CASTELLAR,C,8405,BARCELO Marcos,3,Y,7654,PUJANTE Javier,0
CTT L'AVENÇ,ATT CASTELLAR,B,12175,AMEZQUITA Fabian Matías,0,Z,5632,TRILLAS Oscar,3
