abc_team,xyz_team,abc_player_letter,abc_player_license,abc_player_name,abc_player_score,xyz_player_letter,xyz_player_license,xyz_player_name,xyz_player_score
CLUB NATACIO SABADELL,PROTEC BADALONA,A,12466,CLADELLAS Oriol,3,Y,7744,GARCIA Eduardo,1
CLUB NATACIO SABADELL,PROTEC BADALONA,B,11746,YANG Owen,0,X,11280,MARTÍNEZ Carlos,3
CLUB NATACIO SABADELL,PROTEC BADALONA,C,7112,OMS Marti,3,Z,12491,NAVARRO Arnau,1
CLUB NATACIO SABADELL,PROTEC BADALONA,A,12466,CLADELLAS Oriol,2,X,11280,MARTÍNEZ Carlos,3
CLUB NATACIO SABADELL,PROTEC BADALONA,C,7112,OMS Marti,1,Y,7744,GARCIA Eduardo,3
CLUB NATACIO SABADELL,PROTEC BADALONA,B,11746,YANG Owen,3,Z,12491,NAVARRO Arnau,1
CTT SANT QUIRZE DEL VALLÈS,LLUÏSOS DE GRÀCIA ''B'',A,3484,FERRERA Carlos Augusto,3,Y,10885,LOZANO Manel,0
CTT SANT QUIRZE DEL VALLÈS,LLUÏSOS DE GRÀCIA ''B'',B,4114,OTERO Sergio,3,X,8247,FLORIDO Kapil,2
CTT SANT QUIRZE DEL VALLÈS,LLUÏSOS DE GRÀCIA ''B'',C,125,MUÑOZ Josep Lluis,3,Z,10116,MAZCUÑAN Mar,0
CTT SANT QUIRZE DEL VALLÈS,LLUÏSOS DE GRÀCIA ''B'',A,3484,FERRERA Carlos Augusto,3,X,8247,FLORIDO Kapil,0
CTT SANT QUIRZE DEL VALLÈS,LLUÏSOS DE GRÀCIA ''B'',C,125,MUÑOZ Josep Lluis,3,Y,10885,LOZANO Manel,1
CTT SANT QUIRZE DEL VALLÈS,LLUÏSOS DE GRÀCIA ''B'',B,4114,OTERO Sergio,3,Z,10116,MAZCUÑAN Mar,0
FALCONS DE SABADELL A.E.,CTT LA POBLA DE LILLET,A,2176,BALLESTER Sara,2,Y,1371,ARTIGAS Sergi,3
FALCONS DE SABADELL A.E.,CTT LA POBLA DE LILLET,B,7971,BOSCH Miquel,1,X,1680,PONS Lluis,3
FALCONS DE SABADELL A.E.,CTT LA POBLA DE LILLET,C,12469,TORREZ Sean Marc,0,Z,5410,GALIAN Roger,3
FALCONS DE SABADELL A.E.,CTT LA POBLA DE LILLET,A,2176,BALLESTER Sara,1,X,1680,PONS Lluis,3
FALCONS DE SABADELL A.E.,CTT LA POBLA DE LILLET,C,12469,TORREZ Sean Marc,3,Y,1371,ARTIGAS Sergi,2
FALCONS DE SABADELL A.E.,CTT LA POBLA DE LILLET,B,7971,BOSCH Miquel,1,Z,5410,GALIAN Roger,3
