abc_team,xyz_team,abc_player_letter,abc_player_license,abc_player_name,abc_player_score,xyz_player_letter,xyz_player_license,xyz_player_name,xyz_player_score
MEXCLAT BADALONA,CTT CASTELLGALÍ,B,11717,BOLDÚ Sebastià,1,X,11193,RECHES Marcos,3
MEXCLAT BADALONA,CTT CASTELLGALÍ,C,10817,RATERA Domènec,1,Z,11189,ORTEGA Antonio,3
MEXCLAT BADALONA,CTT CASTELLGALÍ,A,10351,GARRIGA Sergi,0,X,11193,RECHES Marcos,3
MEXCLAT BADALONA,CTT CASTELLGALÍ,C,10817,RATERA Domènec,0,Y,11190,FRINCU Constantin,3
MEXCLAT BADALONA,CTT CASTELLGALÍ,B,11717,BOLDÚ Sebastià,0,Z,11189,ORTEGA Antonio,3
CTT RODA DE TER,CRUXENT EDELMA CALELLA,B,8584,BLANCAFORT Jaume,0,X,6057,VILLARET Mateu,3
CTT RODA DE TER,CRUXENT EDELMA CALELLA,C,7639,OLIVA Alberto,3,Z,5419,VAN RIET Pol,2
CTT RODA DE TER,CRUXENT EDELMA CALELLA,C,7639,OLIVA Alberto,3,Y,6661,LEONE Mateo,2
CTT RODA DE TER,CRUXENT EDELMA CALELLA,B,8584,BLANCAFORT Jaume,0,Z,5419,VAN RIET Pol,3
ATT CASTELLAR,TT LLORENÇÀ,B,6146,FERNANDEZ Jose Antonio,3,X,13125,AGELL Josep,0
ATT CASTELLAR,TT LLORENÇÀ,C,5816,GALLEGO Pere,3,Z,12057,MONTALBAN Xavi,2
ATT CASTELLAR,TT LLORENÇÀ,A,2396,LOPEZ Antoni,3,X,13125,AGELL Josep,0
ATT CASTELLAR,TT LLORENÇÀ,C,5816,GALLEGO Pere,0,Y,12058,MIRAPEIX Josep Mª,3
ATT CASTELLAR,TT LLORENÇÀ,B,6146,FERNANDEZ Jose Antonio,3,Z,12057,MONTALBAN Xavi,0
FOMENT MARTINENC,BLANXART XALOC OLESA,B,12051,ALQUEZAR Jose,3,X,8690,HARO Gerard,2
FOMENT MARTINENC,BLANXART XALOC OLESA,C,13126,GRACIA Jordi,3,Z,13215,BOLTA Pep,2
FOMENT MARTINENC,BLANXART XALOC OLESA,A,8517,RIBAS Jose,0,X,8690,HARO Gerard,3
FOMENT MARTINENC,BLANXART XALOC OLESA,C,13126,GRACIA Jordi,3,Y,10247,BOLTÀ Ot,0
FOMENT MARTINENC,BLANXART XALOC OLESA,B,12051,ALQUEZAR Jose,3,Z,13215,BOLTA Pep,1
LLUÏSOS D'HORTA TT,CTT ATENEU 1882,B,396,MAGRANS Josep,0,X,8067,HIDALGO Hernan,3
LLUÏSOS D'HORTA TT,CTT ATENEU 1882,C,13121,MÜLLER Bertram,0,Z,2434,CUBELLS Jesus,3
LLUÏSOS D'HORTA TT,CTT ATENEU 1882,A,13174,ARCHAN Jalil,0,X,8067,HIDALGO Hernan,3
LLUÏSOS D'HORTA TT,CTT ATENEU 1882,C,13121,MÜLLER Bertram,0,Y,8909,DOMINGUEZ Joel,3
LLUÏSOS D'HORTA TT,CTT ATENEU 1882,B,396,MAGRANS Josep,0,Z,2434,CUBELLS Jesus,3
CN SABADELL,CTT RIPOLLET,B,11165,DINARES Jordi,3,X,12816,POPESCU Catalin,0
CN SABADELL,CTT RIPOLLET,C,7537,OMS Jordi,3,Z,12500,ALBARILLA Carlos,2
CN SABADELL,CTT RIPOLLET,A,12466,CLADELLAS Oriol,3,X,12816,POPESCU Catalin,0
CN SABADELL,CTT RIPOLLET,C,7537,OMS Jordi,1,Y,12502,GONZALEZ Daniel,3
CN SABADELL,CTT RIPOLLET,B,11165,DINARES Jordi,3,Z,12500,ALBARILLA Carlos,0
