abc_team,xyz_team,abc_player_letter,abc_player_license,abc_player_name,abc_player_score,xyz_player_letter,xyz_player_license,xyz_player_name,xyz_player_score
TT PARETS,ATT PREMIÀ DE MAR,A,809,RIVERA Jordi,3,Y,69,VILARO Joan Mª,2
TT PARETS,ATT PREMIÀ DE MAR,B,6184,GRAU Xavier,3,X,394,SERRA Josep,1
TT PARETS,ATT PREMIÀ DE MAR,C,210,CAPARROS Agustín,3,Z,114,NAVARRO Juan,0
TT PARETS,ATT PREMIÀ DE MAR,A,809,RIVERA Jordi,3,X,394,SERRA Josep,0
TT PARETS,ATT PREMIÀ DE MAR,C,210,CAPARROS Agustín,3,Y,69,VILARO Joan Mª,0
TT PARETS,ATT PREMIÀ DE MAR,B,6184,GRAU Xavier,3,Z,114,NAVARRO Juan,0
SURIS CALELLA,EL CIERVO,A,12195,SAÑA Orlando,3,Y,11784,MORAN Francisco Jose,2
SURIS CALELLA,EL CIERVO,B,2030,SANCHEZ Josep,2,X,5522,GUINOVART Antonio,3
SURIS CALELLA,EL CIERVO,C,14195,PETRAGUE Alain,3,Z,194,AGEA Rafael,0
SURIS CALELLA,EL CIERVO,A,12195,SAÑA Orlando,3,X,5522,GUINOVART Antonio,2
SURIS CALELLA,EL CIERVO,C,14195,PETRAGUE Alain,3,Y,11784,MORAN Francisco Jose,2
SURIS CALELLA,EL CIERVO,B,2030,SANCHEZ Josep,3,Z,194,AGEA Rafael,2
LLUÏSOS DE GRÀCIA,CTT SANT QUIRZE DEL VALLÈS,A,750,PEREZ Fabio Rodrigo,3,Y,3484,FERRERA Carlos Augusto,0
LLUÏSOS DE GRÀCIA,CTT SANT QUIRZE DEL VALLÈS,B,5171,RAMOS Carlos,3,X,317,LALINDE Carlos,1
LLUÏSOS DE GRÀCIA,CTT SANT QUIRZE DEL VALLÈS,C,3332,CARBO Jose Mª,0,Z,14565,MATTSSON Tony Michael,3
LLUÏSOS DE GRÀCIA,CTT SANT QUIRZE DEL VALLÈS,A,750,PEREZ Fabio Rodrigo,3,X,317,LALINDE Carlos,0
LLUÏSOS DE GRÀCIA,CTT SANT QUIRZE DEL VALLÈS,C,3332,CARBO Jose Mª,0,Y,3484,FERRERA Carlos Augusto,3
LLUÏSOS DE GRÀCIA,CTT SANT QUIRZE DEL VALLÈS,B,5171,RAMOS Carlos,0,Z,14565,MATTSSON Tony Michael,3
AGRUPACIÓ CONGRÉS,TT PRAT,A,2159,GARCIA Daniel,1,Y,842,RUIZ Amador,3
AGRUPACIÓ CONGRÉS,TT PRAT,B,27,MADURELL Josep,1,X,684,JULIÀ Fèlix,3
AGRUPACIÓ CONGRÉS,TT PRAT,C,208,COCHRAN Jordi,0,Z,744,ARDILA Juan Carlos,3
AGRUPACIÓ CONGRÉS,TT PRAT,A,2159,GARCIA Daniel,2,X,684,JULIÀ Fèlix,3
AGRUPACIÓ CONGRÉS,TT PRAT,C,208,COCHRAN Jordi,0,Y,842,RUIZ Amador,3
AGRUPACIÓ CONGRÉS,TT PRAT,B,27,MADURELL Josep,3,Z,744,ARDILA Juan Carlos,2
