abc_team,xyz_team,abc_player_letter,abc_player_license,abc_player_name,abc_player_score,xyz_player_letter,xyz_player_license,xyz_player_name,xyz_player_score
CTT SALLENT,"LLUÏSOS DE GRÀCIA ""B""",B,10252,GRANADOS Joel,2,X,10297,MOTTAHEDEH Olinga,3
CTT SALLENT,"LLUÏSOS DE GRÀCIA ""B""",C,8499,ESTRUCH Amanel,3,Z,10900,RODRIGUEZ Victor,2
CTT SALLENT,"LLUÏSOS DE GRÀCIA ""B""",A,8497,MAZCUÑAN Pau,2,X,10297,MOTTAHEDEH Olinga,3
CTT SALLENT,"LLUÏSOS DE GRÀCIA ""B""",C,8499,ESTRUCH Amanel,2,Y,6051,FERNANDES Andre,3
CTT SALLENT,"LLUÏSOS DE GRÀCIA ""B""",B,10252,GRANADOS Joel,0,Z,10900,RODRIGUEZ Victor,3
CTT ATENEU 1882,CTT MONTBUI,B,8328,GIMENEZ Angel,3,X,274,ROMERO Francisco,0
CTT ATENEU 1882,CTT MONTBUI,C,8429,MARTINEZ Eva,3,Z,433,CAÑIZARES Joaquin,2
CTT ATENEU 1882,CTT MONTBUI,A,11790,LOPEZ Eric,3,X,274,ROMERO Francisco,0
CTT ATENEU 1882,CTT MONTBUI,C,8429,MARTINEZ Eva,1,Y,1848,BALADA Lluis,3
CTT ATENEU 1882,CTT MONTBUI,B,8328,GIMENEZ Angel,3,Z,433,CAÑIZARES Joaquin,0
TARINAS CALELLA,CTT LA TORRE DE CLARAMUNT,B,10526,ABIO Xavier,2,X,8346,PEREZ Javier,3
TARINAS CALELLA,CTT LA TORRE DE CLARAMUNT,C,6057,VILLARET Mateu,3,Z,12050,GARCIA Adrian,2
TARINAS CALELLA,CTT LA TORRE DE CLARAMUNT,A,6150,FERNANDEZ Alba,3,X,8346,PEREZ Javier,0
TARINAS CALELLA,CTT LA TORRE DE CLARAMUNT,C,6057,VILLARET Mateu,0,Y,5393,SALA David,3
TARINAS CALELLA,CTT LA TORRE DE CLARAMUNT,B,10526,ABIO Xavier,3,Z,12050,GARCIA Adrian,0
TT PARETS,GIRBAU VIC TT,B,2299,IBAÑEZ Jordi,0,X,9209,MIARIONS Arnau,3
TT PARETS,GIRBAU VIC TT,C,6858,GUTIERREZ Juan Carlos,2,Z,5870,BAU Adria,3
TT PARETS,GIRBAU VIC TT,A,8075,GIL Antonio,0,X,9209,MIARIONS Arnau,3
TT PARETS,GIRBAU VIC TT,C,6858,GUTIERREZ Juan Carlos,3,Y,11179,BAUCELLS Genís,2
TT PARETS,GIRBAU VIC TT,B,2299,IBAÑEZ Jordi,1,Z,5870,BAU Adria,3
"UE SANT CUGAT ""B""",CTT ELS AMICS DE TERRASSA,B,5953,CUEVAS Joel,3,X,8459,ROGER Jordi,1
"UE SANT CUGAT ""B""",CTT ELS AMICS DE TERRASSA,C,10145,BETETA Miquel,3,Z,8680,CRISPI David,2
"UE SANT CUGAT ""B""",CTT ELS AMICS DE TERRASSA,A,12894,SUÁREZ Eric,3,X,8459,ROGER Jordi,1
"UE SANT CUGAT ""B""",CTT ELS AMICS DE TERRASSA,C,10145,BETETA Miquel,2,Y,8841,PEREZ Raul,3
"UE SANT CUGAT ""B""",CTT ELS AMICS DE TERRASSA,B,5953,CUEVAS Joel,3,Z,8680,CRISPI David,0
CTT ATC MOLINS DE REI,BADAGRES BADALONA,B,6167,ESTRADA Jordi,3,X,10391,ESPAÑA Fabian Andres,1
CTT ATC MOLINS DE REI,BADAGRES BADALONA,C,545,PUIGGARÍ Albert,3,Z,6290,RUIZ Enric,1
CTT ATC MOLINS DE REI,BADAGRES BADALONA,A,5456,REY Jose Antonio,0,X,10391,ESPAÑA Fabian Andres,3
CTT ATC MOLINS DE REI,BADAGRES BADALONA,C,545,PUIGGARÍ Albert,2,Y,11280,MARTÍNEZ Carlos,3
CTT ATC MOLINS DE REI,BADAGRES BADALONA,B,6167,ESTRADA Jordi,3,Z,6290,RUIZ Enric,0
