abc_team,xyz_team,abc_player_letter,abc_player_license,abc_player_name,abc_player_score,xyz_player_letter,xyz_player_license,xyz_player_name,xyz_player_score
CTT LA POBLA DE LILLET,UE SANT CUGAT,A,1371,ARTIGAS Sergi,2,Y,13758,CALLEJON Christian,3
CTT LA POBLA DE LILLET,UE SANT CUGAT,B,1680,PONS Lluis,2,X,4036,CHAPALAIN Laurent,3
CTT LA POBLA DE LILLET,UE SANT CUGAT,C,5029,GIRALT Daniel,1,Z,169,PAREJA Joan,3
CTT LA POBLA DE LILLET,UE SANT CUGAT,A,1371,ARTIGAS Sergi,2,X,4036,CHAPALAIN Laurent,3
CTT LA POBLA DE LILLET,UE SANT CUGAT,C,5029,GIRALT Daniel,2,Y,13758,CALLEJON Christian,3
CTT LA POBLA DE LILLET,UE SANT CUGAT,B,1680,PONS Lluis,0,Z,169,PAREJA Joan,3
CTT SANT QUIRZE DEL VALLÈS - Sènior A,CLUB NATACIO SABADELL,A,15087,BOSCH Oriol,3,Y,6516,RUIZ Genis,1
CTT SANT QUIRZE DEL VALLÈS - Sènior A,CLUB NATACIO SABADELL,B,4114,OTERO Sergio,1,X,11643,BARBERÀ Quim,3
CTT SANT QUIRZE DEL VALLÈS - Sènior A,CLUB NATACIO SABADELL,C,12904,JIMENEZ Marti,1,Z,11167,RUIZ Jordi,3
CTT SANT QUIRZE DEL VALLÈS - Sènior A,CLUB NATACIO SABADELL,A,15087,BOSCH Oriol,3,X,11643,BARBERÀ Quim,1
CTT SANT QUIRZE DEL VALLÈS - Sènior A,CLUB NATACIO SABADELL,C,12904,JIMENEZ Marti,0,Y,6516,RUIZ Genis,3
CTT SANT QUIRZE DEL VALLÈS - Sènior A,CLUB NATACIO SABADELL,B,4114,OTERO Sergio,3,Z,11167,RUIZ Jordi,0
CTT VILANOVA I LA GELTRU,CTT ATC MOLINS DE REI,A,467,COBO Jose Antonio,0,Y,470,DURAN Ignasi,3
CTT VILANOVA I LA GELTRU,CTT ATC MOLINS DE REI,B,7570,BATALLA Ezequiel,0,X,2524,SALA Carles,3
CTT VILANOVA I LA GELTRU,CTT ATC MOLINS DE REI,C,15001,MALVAR Juan Andres,0,Z,6167,ESTRADA Jordi,3
CTT VILANOVA I LA GELTRU,CTT ATC MOLINS DE REI,A,467,COBO Jose Antonio,1,X,2524,SALA Carles,3
CTT VILANOVA I LA GELTRU,CTT ATC MOLINS DE REI,C,15001,MALVAR Juan Andres,0,Y,470,DURAN Ignasi,3
CTT VILANOVA I LA GELTRU,CTT ATC MOLINS DE REI,B,7570,BATALLA Ezequiel,3,Z,6167,ESTRADA Jordi,1
WBTRAVEL CTT RIPOLLET,CC SANTS,A,4914,LLORENS David,3,Y,895,AYUSO Alejandro,1
WBTRAVEL CTT RIPOLLET,CC SANTS,B,11774,GARCÍA Alex,2,X,618,PANAREDA Jordi,3
WBTRAVEL CTT RIPOLLET,CC SANTS,C,11775,CUTILLAS Octavi,1,Z,319,PEDRÓ Santiago,3
WBTRAVEL CTT RIPOLLET,CC SANTS,A,4914,LLORENS David,0,X,618,PANAREDA Jordi,3
WBTRAVEL CTT RIPOLLET,CC SANTS,C,11775,CUTILLAS Octavi,3,Y,895,AYUSO Alejandro,2
WBTRAVEL CTT RIPOLLET,CC SANTS,B,11774,GARCÍA Alex,0,Z,319,PEDRÓ Santiago,3
TT PARETS,CTT SALLENT,A,8391,CARDOZO Sacha Frank,1,Y,16395,CHENG Zhongyong,3
TT PARETS,CTT SALLENT,B,6184,GRAU Xavier,3,X,8497,MAZCUÑAN Pau,0
TT PARETS,CTT SALLENT,C,5081,MARIN Victor,2,Z,527,VILA Joan,3
TT PARETS,CTT SALLENT,A,8391,CARDOZO Sacha Frank,1,X,8497,MAZCUÑAN Pau,3
TT PARETS,CTT SALLENT,C,5081,MARIN Victor,1,Y,16395,CHENG Zhongyong,3
TT PARETS,CTT SALLENT,B,6184,GRAU Xavier,3,Z,527,VILA Joan,2
MASQUEFA TTC,"EL CENTRE ""B""",A,11199,SAMPERE Daniel,0,Y,14367,EXPOSITO Luis,3
MASQUEFA TTC,"EL CENTRE ""B""",B,4527,BONASTRE Ferran,1,X,952,LLOPIS Isaac,3
MASQUEFA TTC,"EL CENTRE ""B""",C,4525,CID Miquel,1,Z,14267,EXPOSITO Santiago,3
MASQUEFA TTC,"EL CENTRE ""B""",A,11199,SAMPERE Daniel,1,X,952,LLOPIS Isaac,3
MASQUEFA TTC,"EL CENTRE ""B""",C,4525,CID Miquel,3,Y,14367,EXPOSITO Luis,1
MASQUEFA TTC,"EL CENTRE ""B""",B,4527,BONASTRE Ferran,3,Z,14267,EXPOSITO Santiago,1
