abc_team,xyz_team,abc_player_letter,abc_player_license,abc_player_name,abc_player_score,xyz_player_letter,xyz_player_license,xyz_player_name,xyz_player_score
CTT CASTELLDEFELS,EL CENTRE,A,14221,GÓMEZ Carles,0,Y,3548,ALVAREZ Enrique Sotero,3
CTT CASTELLDEFELS,EL CENTRE,B,6272,MATA Javier,3,X,606,FRANCH Jaume,0
CTT CASTELLDEFELS,EL CENTRE,C,13637,MARTÍ Victor,3,Z,650,CABESTANY Eduard,0
CTT CASTELLDEFELS,EL CENTRE,A,14221,GÓMEZ Carles,3,X,606,FRANCH Jaume,2
CTT CASTELLDEFELS,EL CENTRE,C,13637,MARTÍ Victor,0,Y,3548,ALVAREZ Enrique Sotero,3
CTT CASTELLDEFELS,EL CENTRE,B,6272,MATA Javier,3,Z,650,CABESTANY Eduard,1
CTT SENTMENAT,CTT DELS HORTS 2000,A,6231,MATIAS Jordi,1,Y,174,LLOPART Josep,3
CTT SENTMENAT,CTT DELS HORTS 2000,B,884,GARCIA Richard,3,X,322,GUARDIA Pedro,1
CTT SENTMENAT,CTT DELS HORTS 2000,C,286,CARMONA Manuel,1,Z,4595,PORTET Joan,3
CTT SENTMENAT,CTT DELS HORTS 2000,A,6231,MATIAS Jordi,2,X,322,GUARDIA Pedro,3
CTT SENTMENAT,CTT DELS HORTS 2000,C,286,CARMONA Manuel,3,Y,174,LLOPART Josep,1
CTT SENTMENAT,CTT DELS HORTS 2000,B,884,GARCIA Richard,3,Z,4595,PORTET Joan,0
CTT COLLBATO,CETT ESPARREGUERA,A,11242,SANCHEZ Ismael,3,Y,439,PONS Felix,0
CTT COLLBATO,CETT ESPARREGUERA,B,509,GOTSENS Enric,3,X,569,TERUEL Jordi,0
CTT COLLBATO,CETT ESPARREGUERA,C,818,FERNÁNDEZ Sergi,3,Z,6922,MALDONADO Esteban,1
CTT COLLBATO,CETT ESPARREGUERA,A,11242,SANCHEZ Ismael,3,X,569,TERUEL Jordi,0
CTT COLLBATO,CETT ESPARREGUERA,C,818,FERNÁNDEZ Sergi,3,Y,439,PONS Felix,0
CTT COLLBATO,CETT ESPARREGUERA,B,509,GOTSENS Enric,3,Z,6922,MALDONADO Esteban,2
TITUS BADALONA,CTT RIPOLLET,A,15982,GUERRERO Jose Antonio,3,Y,4378,CLAVER Antonio,2
TITUS BADALONA,CTT RIPOLLET,B,16118,LI Fa Quan,3,X,7663,PASTRANA Juan Manuel,2
TITUS BADALONA,CTT RIPOLLET,C,8330,MARIMON Francisco Javier,3,Z,4565,MOGAS Medir,0
TITUS BADALONA,CTT RIPOLLET,A,15982,GUERRERO Jose Antonio,3,X,7663,PASTRANA Juan Manuel,2
TITUS BADALONA,CTT RIPOLLET,C,8330,MARIMON Francisco Javier,1,Y,4378,CLAVER Antonio,3
TITUS BADALONA,CTT RIPOLLET,B,16118,LI Fa Quan,2,Z,4565,MOGAS Medir,3
