abc_team,xyz_team,abc_player_letter,abc_player_license,abc_player_name,abc_player_score,xyz_player_letter,xyz_player_license,xyz_player_name,xyz_player_score
CTT CARDEDEU EIG,EL CENTRE ''A'',A,200,LUCEA Javier,0,Y,395,EXPOSITO Juan Antonio,3
CTT CARDEDEU EIG,EL CENTRE ''A'',B,242,AZCON Joaquin,3,X,651,CARBONELL Daniel,0
CTT CARDEDEU EIG,EL CENTRE ''A'',C,11724,RODRIGUEZ Xavier,0,Z,292,CHACON Alejandro,3
CTT CARDEDEU EIG,EL CENTRE ''A'',A,200,LUCEA Javier,0,X,651,CARBONELL Daniel,3
CTT CARDEDEU EIG,EL CENTRE ''A'',C,11724,RODRIGUEZ Xavier,1,Y,395,EXPOSITO Juan Antonio,3
CTT CARDEDEU EIG,EL CENTRE ''A'',B,242,AZCON Joaquin,3,Z,292,CHACON Alejandro,1
ATT PREMIÀ DE MAR,TITUS BADALONA,A,707,GARCIA Xavier,1,Y,10639,CRESPO Pere,3
ATT PREMIÀ DE MAR,TITUS BADALONA,B,2983,ESCOLA Francisco Javier,0,X,963,NOLIS Pau,3
ATT PREMIÀ DE MAR,TITUS BADALONA,C,902,COMAS Jordi,3,Z,635,MARTÍNEZ Antonio,0
ATT PREMIÀ DE MAR,TITUS BADALONA,A,707,GARCIA Xavier,0,X,963,NOLIS Pau,3
ATT PREMIÀ DE MAR,TITUS BADALONA,C,902,COMAS Jordi,2,Y,10639,CRESPO Pere,3
ATT PREMIÀ DE MAR,TITUS BADALONA,B,2983,ESCOLA Francisco Javier,2,Z,635,MARTÍNEZ Antonio,3
CTT ELS AMICS DE TERRASSA,EL CIERVO ''A'',A,11007,REGINCÓS Albert,3,Y,199,CASTELLS Francesc,1
CTT ELS AMICS DE TERRASSA,EL CIERVO ''A'',B,692,CAMPOS Oscar,1,X,557,VILLORO Xavier,3
CTT ELS AMICS DE TERRASSA,EL CIERVO ''A'',C,856,MARTINEZ Ignasi,3,Z,7559,GUASCH Josep,1
CTT ELS AMICS DE TERRASSA,EL CIERVO ''A'',A,11007,REGINCÓS Albert,1,X,557,VILLORO Xavier,3
CTT ELS AMICS DE TERRASSA,EL CIERVO ''A'',C,856,MARTINEZ Ignasi,3,Y,199,CASTELLS Francesc,1
CTT ELS AMICS DE TERRASSA,EL CIERVO ''A'',B,692,CAMPOS Oscar,1,Z,7559,GUASCH Josep,3
