abc_team,xyz_team,abc_player_letter,abc_player_license,abc_player_name,abc_player_score,xyz_player_letter,xyz_player_license,xyz_player_name,xyz_player_score
CT BARCINO,"CC SANT ANDREU ""A""",A,303,CAUDET Roman,3,Y,605,GRIFOLL Xavier,0
CT BARCINO,"CC SANT ANDREU ""A""",B,16408,RIU Fernando,3,X,2000,ESCOLA Antoni,0
CT BARCINO,"CC SANT ANDREU ""A""",C,257,PEÑA Clemente,3,Z,217,ROVELLO Antonio,0
CT BARCINO,"CC SANT ANDREU ""A""",A,303,CAUDET Roman,3,X,2000,ESCOLA Antoni,0
CT BARCINO,"CC SANT ANDREU ""A""",C,257,PEÑA Clemente,2,Y,605,GRIFOLL Xavier,3
CT BARCINO,"CC SANT ANDREU ""A""",B,16408,RIU Fernando,3,Z,217,ROVELLO Antonio,0
CN ST. ANDREU,TARINAS CALELLA,A,607,CASTILLO Carlos Jesús,0,Y,15723,SEVILLA Javier,3
CN ST. ANDREU,TARINAS CALELLA,B,14126,ALLUE Vicens,0,X,11244,VILALTA Agusti,3
CN ST. ANDREU,TARINAS CALELLA,C,614,MARTINEZ Francisco,3,Z,14422,TORROJA Jordi,1
CN ST. ANDREU,TARINAS CALELLA,A,607,CASTILLO Carlos Jesús,2,X,11244,VILALTA Agusti,3
CN ST. ANDREU,TARINAS CALELLA,C,614,MARTINEZ Francisco,3,Y,15723,SEVILLA Javier,2
CN ST. ANDREU,TARINAS CALELLA,B,14126,ALLUE Vicens,1,Z,14422,TORROJA Jordi,3
CTT CARDEDEU EIG,TT PARETS,A,758,CASTAÑE Jordi,1,Y,6184,GRAU Xavier,3
CTT CARDEDEU EIG,TT PARETS,B,7667,VERA Edgardo Oliver,0,X,6858,GUTIERREZ Juan Carlos,3
CTT CARDEDEU EIG,TT PARETS,C,5399,CASTRO Ismael,3,Z,8391,CARDOZO Sacha Frank,2
CTT CARDEDEU EIG,TT PARETS,A,758,CASTAÑE Jordi,3,X,6858,GUTIERREZ Juan Carlos,2
CTT CARDEDEU EIG,TT PARETS,C,5399,CASTRO Ismael,0,Y,6184,GRAU Xavier,3
CTT CARDEDEU EIG,TT PARETS,B,7667,VERA Edgardo Oliver,0,Z,8391,CARDOZO Sacha Frank,3
LLUÏSOS DE GRÀCIA,CN SABADELL,A,292,CHACON Alejandro,3,Y,10265,PLAYÀ Francesc,2
LLUÏSOS DE GRÀCIA,CN SABADELL,B,7213,FELIU Javier,2,X,7099,PONZ Antonio,3
LLUÏSOS DE GRÀCIA,CN SABADELL,C,6639,FELIU Jose,3,Z,10582,PARDELL Ernest,0
LLUÏSOS DE GRÀCIA,CN SABADELL,A,292,CHACON Alejandro,0,X,7099,PONZ Antonio,3
LLUÏSOS DE GRÀCIA,CN SABADELL,C,6639,FELIU Jose,3,Y,10265,PLAYÀ Francesc,0
LLUÏSOS DE GRÀCIA,CN SABADELL,B,7213,FELIU Javier,3,Z,10582,PARDELL Ernest,0
